epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,69.1203,0.81922,1.07782,0.00982,0.8691,0.65208,0.87274,0.67118,1.70392,1.21519,0.01243,2.96948e-05,2.96948e-05,2.96948e-05
58,70.5485,0.81803,1.08809,0.00764,0.8691,0.65208,0.87274,0.67118,1.70392,1.21519,0.01243,2.95535e-05,2.95535e-05,2.95535e-05
59,72.0987,1.10458,1.37617,0.01613,0.8691,0.65208,0.87274,0.67118,1.70392,1.21519,0.01243,2.93887e-05,2.93887e-05,2.93887e-05
60,73.5978,1.1146,1.88957,0.01823,0.67187,0.66687,0.87171,0.65346,1.69278,1.28051,0.01298,2.92003e-05,2.92003e-05,2.92003e-05
61,75.1253,0.70739,1.11127,0.00768,0.67187,0.66687,0.87171,0.65346,1.69278,1.28051,0.01298,2.89884e-05,2.89884e-05,2.89884e-05
62,76.5339,0.89574,0.981,0.01561,0.67187,0.66687,0.87171,0.65346,1.69278,1.28051,0.01298,2.87529e-05,2.87529e-05,2.87529e-05
63,77.9436,1.44973,2.99195,0.03051,0.6139,0.66939,0.78984,0.57975,1.70145,1.3315,0.01309,2.84938e-05,2.84938e-05,2.84938e-05
64,79.4076,0.87104,1.27509,0.00812,0.6139,0.66939,0.78984,0.57975,1.70145,1.3315,0.01309,2.82112e-05,2.82112e-05,2.82112e-05
65,81.0667,1.05577,1.13782,0.0115,0.6139,0.66939,0.78984,0.57975,1.70145,1.3315,0.01309,2.7905e-05,2.7905e-05,2.7905e-05
66,82.6618,0.76093,0.83092,0.01283,0.62293,0.66367,0.78607,0.57811,1.73204,1.33905,0.01345,2.75753e-05,2.75753e-05,2.75753e-05
67,84.1102,0.88544,0.72117,0.00821,0.62293,0.66367,0.78607,0.57811,1.73204,1.33905,0.01345,2.7222e-05,2.7222e-05,2.7222e-05
68,85.4801,1.13404,1.47305,0.01324,0.62293,0.66367,0.78607,0.57811,1.73204,1.33905,0.01345,2.68451e-05,2.68451e-05,2.68451e-05
69,86.9283,0.91355,0.97812,0.01263,0.59339,0.6646,0.78605,0.56758,1.74931,1.38411,0.01381,2.64447e-05,2.64447e-05,2.64447e-05
70,88.2865,1.30253,1.98481,0.02069,0.59339,0.6646,0.78605,0.56758,1.74931,1.38411,0.01381,2.60207e-05,2.60207e-05,2.60207e-05
71,89.6147,0.80955,0.93969,0.0077,0.59339,0.6646,0.78605,0.56758,1.74931,1.38411,0.01381,2.55731e-05,2.55731e-05,2.55731e-05
72,90.9423,0.98748,0.82936,0.00892,0.62804,0.68178,0.78565,0.56742,1.72721,1.35905,0.01359,2.5102e-05,2.5102e-05,2.5102e-05
73,92.1899,0.77764,1.18589,0.0101,0.62804,0.68178,0.78565,0.56742,1.72721,1.35905,0.01359,2.46073e-05,2.46073e-05,2.46073e-05
74,93.5472,0.93356,1.18887,0.01092,0.62804,0.68178,0.78565,0.56742,1.72721,1.35905,0.01359,2.40891e-05,2.40891e-05,2.40891e-05
75,94.8892,1.18988,1.48624,0.02017,0.90918,0.47769,0.78407,0.56698,1.78326,1.31583,0.0144,2.35472e-05,2.35472e-05,2.35472e-05
76,96.2808,0.95529,0.87933,0.01129,0.90918,0.47769,0.78407,0.56698,1.78326,1.31583,0.0144,2.29819e-05,2.29819e-05,2.29819e-05
77,97.6167,1.02165,0.98892,0.01084,0.90918,0.47769,0.78407,0.56698,1.78326,1.31583,0.0144,2.23929e-05,2.23929e-05,2.23929e-05
78,99.187,1.19204,1.52472,0.01533,0.76161,0.4722,0.76569,0.54312,1.72032,1.50134,0.01439,2.17805e-05,2.17805e-05,2.17805e-05
